epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.49,0.25948,1.40147,0.96209,0.78443,0.31582,0.34217,0.27498,0.46485,2.27686,0.69199,0.000368992,0.000368992,0.000368992
2,573.357,0.18875,0.7637,0.90641,0.78286,0.32837,0.32683,0.30855,0.29959,1.55897,0.58666,0.000732006,0.000732006,0.000732006
3,864.741,0.18785,0.66312,0.90017,0.72583,0.3466,0.31754,0.31432,0.25468,1.98737,0.53494,0.00108769,0.00108769,0.00108769
4,1156.79,0.16779,0.59644,0.89238,0.79253,0.3287,0.37907,0.36409,0.28406,1.51552,0.54855,0.001078,0.001078,0.001078
5,1449.76,0.15214,0.54917,0.89035,0.79668,0.3433,0.44303,0.43861,0.22876,1.42213,0.48732,0.001067,0.001067,0.001067
6,1742.27,0.1374,0.53847,0.88186,0.84253,0.31529,0.37508,0.37016,0.21845,1.45521,0.48792,0.00105601,0.00105601,0.00105601
7,2035.27,0.12913,0.5142,0.88042,0.81628,0.32103,0.35799,0.34866,0.27404,1.60423,0.5392,0.00104501,0.00104501,0.00104501
8,2328.45,0.13043,0.51843,0.87814,0.82537,0.32742,0.40319,0.39637,0.24798,1.37015,0.51385,0.00103401,0.00103401,0.00103401
9,2621.6,0.12456,0.48918,0.87232,0.80436,0.34142,0.37702,0.37254,0.23394,1.9689,0.49475,0.00102301,0.00102301,0.00102301
10,2915.32,0.1204,0.48384,0.87446,0.83893,0.31715,0.40603,0.39816,0.22374,1.31996,0.48912,0.00101201,0.00101201,0.00101201
11,3208.3,0.1136,0.47236,0.87438,0.80646,0.3267,0.40424,0.3953,0.21648,1.52299,0.49098,0.00100101,0.00100101,0.00100101
12,3500.36,0.10863,0.46901,0.872,0.74707,0.39555,0.42881,0.42613,0.20057,1.43945,0.44429,0.000990012,0.000990012,0.000990012
