epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2994.79,0.54361,1.3281,1.31702,0.24626,0.97811,0.38768,0.37987,0.62685,1.269,0.90598,0.0802078,0.000199921,0.000199921
2,5958.11,0.43541,1.24765,1.20279,0.28024,0.8207,0.42066,0.39415,0.51442,1.2909,0.80014,0.0603998,0.000391924,0.000391924
3,8916.64,0.37448,1.19469,1.14037,0.29043,0.73671,0.43184,0.42664,0.39554,1.16351,0.73229,0.0405838,0.000575927,0.000575927
4,11870.9,0.34678,1.17427,1.1155,0.2885,0.70803,0.42769,0.41931,0.35037,1.13203,0.62867,0.0207598,0.000751931,0.000751931
5,14820.8,0.31425,1.1454,1.08323,0.32925,0.76294,0.47605,0.47438,0.35688,1.08551,0.68177,0.000927791,0.000919936,0.000919936
6,17770.4,0.29181,1.1217,1.06133,0.36328,0.7175,0.46618,0.46416,0.30829,1.05868,0.63249,0.00090001,0.00090001,0.00090001
7,20719.4,0.27822,1.10308,1.05236,0.39279,0.68768,0.49091,0.48946,0.28186,1.01997,0.60833,0.000880012,0.000880012,0.000880012
8,23671.5,0.26318,1.0774,1.03799,0.41658,0.69893,0.52783,0.52411,0.26314,1.01787,0.55962,0.000860014,0.000860014,0.000860014
9,26619.9,0.25133,1.05943,1.02619,0.41316,0.72586,0.53493,0.53173,0.26574,1.0107,0.5412,0.000840016,0.000840016,0.000840016
10,29566.1,0.24508,1.04352,1.02348,0.47586,0.73164,0.57885,0.57356,0.24622,0.96739,0.549,0.000820018,0.000820018,0.000820018
11,32514.7,0.23654,1.02552,1.01404,0.47859,0.72483,0.58655,0.58306,0.24759,0.98067,0.51475,0.00080002,0.00080002,0.00080002
12,35459,0.23145,1.01689,1.00979,0.49685,0.72815,0.59703,0.59381,0.25293,0.96729,0.55509,0.000780022,0.000780022,0.000780022
13,38404.9,0.22561,1.00182,1.00356,0.49241,0.74143,0.61373,0.60942,0.25893,0.92475,0.58048,0.000760024,0.000760024,0.000760024
14,41351.7,0.22131,0.99768,1.00046,0.54793,0.73168,0.6434,0.63963,0.22225,0.90332,0.50282,0.000740026,0.000740026,0.000740026
15,44298.6,0.21731,0.98107,0.99828,0.55993,0.73615,0.65426,0.6528,0.23149,0.90215,0.51469,0.000720028,0.000720028,0.000720028
16,47247.5,0.21288,0.97064,0.99315,0.56958,0.72277,0.66267,0.66084,0.22983,0.88448,0.49582,0.00070003,0.00070003,0.00070003
17,50197.1,0.20747,0.96052,0.98885,0.55749,0.74935,0.66371,0.65614,0.22339,0.8924,0.46483,0.000680032,0.000680032,0.000680032
18,53143.1,0.20273,0.95096,0.98642,0.58183,0.74214,0.67758,0.67539,0.20894,0.86927,0.4567,0.000660034,0.000660034,0.000660034
19,56086.3,0.20109,0.94842,0.98384,0.5715,0.75788,0.68793,0.68629,0.20322,0.84711,0.43536,0.000640036,0.000640036,0.000640036
20,59028.9,0.19749,0.9409,0.98124,0.58419,0.75674,0.69274,0.69033,0.19749,0.83842,0.43359,0.000620038,0.000620038,0.000620038
21,61970.9,0.19338,0.92508,0.97719,0.59043,0.74499,0.69317,0.69145,0.19176,0.8425,0.43204,0.00060004,0.00060004,0.00060004
22,64916.8,0.19032,0.91834,0.97542,0.60474,0.75873,0.7111,0.70976,0.20741,0.81529,0.46231,0.000580042,0.000580042,0.000580042
23,67864.6,0.18443,0.91268,0.97139,0.60863,0.76729,0.71662,0.71567,0.21222,0.805,0.4811,0.000560044,0.000560044,0.000560044
24,70812.5,0.18453,0.90512,0.97033,0.61121,0.7683,0.72294,0.72221,0.1852,0.79783,0.44279,0.000540046,0.000540046,0.000540046
25,73759.8,0.18263,0.90195,0.97019,0.60847,0.78271,0.71857,0.71724,0.18315,0.80393,0.43498,0.000520048,0.000520048,0.000520048
26,76704.4,0.17707,0.89438,0.96497,0.61795,0.77568,0.72978,0.72922,0.17089,0.79434,0.40522,0.00050005,0.00050005,0.00050005
27,79651.7,0.17506,0.88094,0.96383,0.62526,0.7853,0.74001,0.73875,0.18939,0.7797,0.43942,0.000480052,0.000480052,0.000480052
28,82601.3,0.17444,0.87761,0.96374,0.63868,0.76812,0.74579,0.74492,0.18788,0.77368,0.42107,0.000460054,0.000460054,0.000460054
29,85552.3,0.1704,0.87187,0.9608,0.62642,0.77775,0.74483,0.74407,0.18818,0.77938,0.42439,0.000440056,0.000440056,0.000440056
30,88502.2,0.1693,0.86583,0.95996,0.63371,0.78925,0.74843,0.74797,0.20176,0.76862,0.45438,0.000420058,0.000420058,0.000420058
31,91454.2,0.16827,0.8589,0.95955,0.63792,0.79674,0.75717,0.75668,0.18519,0.76184,0.4422,0.00040006,0.00040006,0.00040006
32,94401.8,0.16601,0.84818,0.95649,0.63665,0.79505,0.76031,0.75865,0.19013,0.76247,0.43575,0.000380062,0.000380062,0.000380062
33,97353.4,0.16303,0.84414,0.95346,0.63697,0.79871,0.76515,0.7639,0.19415,0.74736,0.43068,0.000360064,0.000360064,0.000360064
34,100300,0.16069,0.84102,0.95214,0.63949,0.8062,0.76852,0.76654,0.19427,0.74362,0.42671,0.000340066,0.000340066,0.000340066
35,103246,0.1583,0.83656,0.95134,0.64461,0.79839,0.77044,0.76568,0.18662,0.74163,0.42363,0.000320068,0.000320068,0.000320068
36,106189,0.15569,0.82958,0.94907,0.63929,0.8072,0.77237,0.76976,0.18973,0.73503,0.42778,0.00030007,0.00030007,0.00030007
37,109133,0.15533,0.82136,0.94906,0.63787,0.81003,0.776,0.77255,0.18726,0.73318,0.43649,0.000280072,0.000280072,0.000280072
38,112076,0.15068,0.81865,0.94522,0.638,0.81063,0.78048,0.77509,0.18793,0.72944,0.44857,0.000260074,0.000260074,0.000260074
39,115020,0.14975,0.80447,0.94484,0.64167,0.81838,0.78524,0.78039,0.19195,0.72558,0.44901,0.000240076,0.000240076,0.000240076
40,117962,0.14771,0.80027,0.94348,0.64853,0.81541,0.78886,0.7842,0.19236,0.71869,0.4542,0.000220078,0.000220078,0.000220078
41,120901,0.09766,0.72631,0.80054,0.66259,0.81191,0.79513,0.7895,0.1885,0.69945,0.45512,0.00020008,0.00020008,0.00020008
42,123844,0.09368,0.68435,0.79694,0.66395,0.8169,0.79973,0.79426,0.18388,0.68196,0.45131,0.000180082,0.000180082,0.000180082
43,126784,0.09022,0.66983,0.79468,0.67284,0.81078,0.80354,0.79713,0.18235,0.66948,0.44944,0.000160084,0.000160084,0.000160084
44,129727,0.08776,0.65541,0.79361,0.67709,0.81259,0.80604,0.7992,0.18123,0.66185,0.44676,0.000140086,0.000140086,0.000140086
